Month,Search index
2015-01,57
2015-02,73
2015-03,85
2015-04,94
2015-05,94
2015-06,80
2015-07,74
2015-08,68
2015-09,100
2015-10,64
2015-11,62
2015-12,66
2016-01,63
2016-02,68
2016-03,63
2016-04,68
2016-05,76
2016-06,67
2016-07,65
2016-08,57
2016-09,84
2016-10,58
2016-11,56
2016-12,56
2017-01,56
2017-02,61
2017-03,60
2017-04,57
2017-05,58
2017-06,60
2017-07,56
2017-08,53
2017-09,74
2017-10,61
2017-11,51
2017-12,49
2018-01,51
2018-02,52
2018-03,52
2018-04,54
2018-05,57
2018-06,50
2018-07,54
2018-08,62
2018-09,75
2018-10,58
2018-11,66
2018-12,57
2019-01,55
2019-02,57
2019-03,59
2019-04,63
2019-05,63
2019-06,59
2019-07,63
2019-08,57
2019-09,66
2019-10,56
2019-11,56
2019-12,51
2020-01,71
2020-02,61
2020-03,52
2020-04,57
2020-05,62
2020-06,56
2020-07,58
2020-08,55
2020-09,60
2020-10,49
2020-11,50
2020-12,51
2021-01,50
2021-02,57
2021-03,54
2021-04,52
2021-05,61
2021-06,57
2021-07,61
2021-08,58
2021-09,77
2021-10,64
2021-11,56
2021-12,56
2022-01,61
2022-02,63
2022-03,72
2022-04,68
2022-05,64
2022-06,73
2022-07,66
2022-08,63
2022-09,65
2022-10,60
2022-11,54
2022-12,61
2023-01,56
2023-02,60
2023-03,57
2023-04,55
2023-05,64
2023-06,60
2023-07,65
2023-08,59
2023-09,69
2023-10,63
2023-11,60
2023-12,56
2024-01,67
